method,W,Nxy,k,h,Nt,dt,omega,Ns,ell,ndofs,max_L2_error,max_H1_error,rms_L2_error,rms_H1_error,setup_time_sec,spatial_setup_time_sec,rom_specific_setup_time_sec,solve_time_sec,snapshot_time_sec,total_time_sec,snapshot_Nt,snapshot_dt,snapshot_omega,pod_tail,scheme,order_L2,order_H1
DG-FOM,-,4,1,0.25,20000,0.0005,0.5,,,192,0.01867258371324667,0.41101207679668067,0.005550919828975337,0.12433925398491211,0.6821180590195581,0.6821180590195581,,0.4802666469477117,0.0,1.1623847059672698,,,,,Crank-Nicolson,,
DG-POD,I,4,1,0.25,20000,0.0005,0.5,1000.0,5.0,192,0.01867258816625603,0.4110121012246957,0.005550940664478679,0.12433926988106478,0.11936846392927691,0.006026966962963343,0.11334149696631357,0.14753559965174645,0.5154451729613356,0.782349236542359,1000.0,0.01,0.5,4.372879675894392e-05,Crank-Nicolson,,
DG-POD,M,4,1,0.25,20000,0.0005,0.5,1000.0,5.0,192,0.018672588569855094,0.41101209547358963,0.005550936150369933,0.12433926869263474,0.06908113701501861,0.006026966962963343,0.06305417005205527,0.15504206059267744,0.5154451729613356,0.7395683705690317,1000.0,0.01,0.5,3.5355176337173333e-06,Crank-Nicolson,,
DG-POD,A,4,1,0.25,20000,0.0005,0.5,1000.0,5.0,192,0.018672582252099893,0.4110121086932071,0.005550940705961915,0.12433926842332049,0.06954081496223807,0.006026966962963343,0.06351384799927473,0.1509292769478634,0.5154451729613356,0.7359152648714371,1000.0,0.01,0.5,2.158486575788593e-05,Crank-Nicolson,,
DG-FOM,-,8,1,0.125,20000,0.0005,0.5,,,768,0.004672269285065912,0.2054090068491823,0.0013949665749384374,0.06223036675192893,0.007849980029277503,0.007849980029277503,,1.527930380543694,0.0,1.5357803605729714,,,,,Crank-Nicolson,1.9987262350566437,1.000681342476996
DG-POD,I,8,1,0.125,20000,0.0005,0.5,1000.0,5.0,768,0.0046722720161861886,0.20540902714486084,0.0013949947811213383,0.06223037772229356,0.06560165400151163,0.005802839994430542,0.05979881400708109,0.18268391117453575,0.7449282570159994,0.9932138221920468,1000.0,0.01,0.5,8.9438836493798e-05,Crank-Nicolson,1.9987257357980825,1.000681285674688
DG-POD,M,8,1,0.125,20000,0.0005,0.5,1000.0,5.0,768,0.004672271951693826,0.2054090239590931,0.0013949895444115967,0.06223037691536899,0.07923894398845732,0.005802839994430542,0.07343610399402678,0.18271665804786608,0.7449282570159994,1.0068838590523228,1000.0,0.01,0.5,4.234539708387415e-06,Crank-Nicolson,1.9987257868950714,1.0006812878630231
DG-POD,A,8,1,0.125,20000,0.0005,0.5,1000.0,5.0,768,0.004672267706016825,0.20540903393635193,0.0013949986630954001,0.062230376399207,0.08915854600491002,0.005802839994430542,0.08335570601047948,0.17713772982824594,0.7449282570159994,1.0112245328491554,1000.0,0.01,0.5,2.403495981853881e-05,Crank-Nicolson,1.9987266097404959,1.0006812641897425
DG-FOM,-,16,1,0.0625,20000,0.0005,0.5,,,3072,0.0011683271603832553,0.10269248030941518,0.00034919704502356803,0.03112295997713519,0.023281715984921902,0.023281715984921902,,6.8781852595857345,0.0,6.901466975570656,,,,,Crank-Nicolson,1.9996791050401006,1.000168899156598
DG-POD,I,16,1,0.0625,20000,0.0005,0.5,1000.0,5.0,3072,0.0011683232059134022,0.10269249886987848,0.0003492482346740809,0.031122966734345132,0.09495359205175191,0.010293252009432763,0.08466034004231915,0.5515728680184111,1.5833055439870805,2.2298320040572435,1000.0,0.01,0.5,0.0001814051289449068,Crank-Nicolson,1.9996848314891513,1.0001687809535602
DG-POD,M,16,1,0.0625,20000,0.0005,0.5,1000.0,5.0,3072,0.0011683227652752675,0.10269249861184339,0.0003492472243161407,0.031122966537960265,0.12244690401712433,0.010293252009432763,0.11215365200769156,0.5363444466493092,1.5833055439870805,2.242096894653514,1000.0,0.01,0.5,4.528348774505223e-06,Crank-Nicolson,1.999685355694083,1.0001687622033018
DG-POD,A,16,1,0.0625,20000,0.0005,0.5,1000.0,5.0,3072,0.00116832471462417,0.10269249611926158,0.0003492341200563337,0.031122965308350698,0.09849818504881114,0.010293252009432763,0.08820493303937837,0.5605584042496048,1.5833055439870805,2.2423621332854964,1000.0,0.01,0.5,2.5206268383435402e-05,Crank-Nicolson,1.9996816375840127,1.0001688672963174
DG-FOM,-,32,1,0.03125,20000,0.0005,0.5,,,12288,0.0002920980602830795,0.051344740559828336,8.732820104718433e-05,0.015562457764531572,0.0862792800180614,0.0862792800180614,,49.15443893749034,0.0,49.2407182175084,,,,,Crank-Nicolson,1.9999196380413555,1.00004213530888
DG-POD,I,32,1,0.03125,20000,0.0005,0.5,1000.0,5.0,12288,0.0002920936373079819,0.051344749829740105,8.737898046779337e-05,0.015562461198545978,0.16115189105039462,0.01822916400851682,0.1429227270418778,1.7545055556111038,6.057307765993755,7.972965212655254,1000.0,0.01,0.5,0.0003624910543783684,Crank-Nicolson,1.9999366004859909,1.0000421355912346
DG-POD,M,32,1,0.03125,20000,0.0005,0.5,1000.0,5.0,12288,0.0002920935891138133,0.051344749796182636,8.737867705949712e-05,0.015562461178451696,0.21069985401118174,0.01822916400851682,0.19247069000266492,1.7416988058830611,6.057307765993755,8.009706425887998,1000.0,0.01,0.5,4.59679256688871e-06,Crank-Nicolson,1.9999362944056045,1.0000421329090843
DG-POD,A,32,1,0.03125,20000,0.0005,0.5,1000.0,5.0,12288,0.00029209531297586433,0.051344748816503964,8.736674198937226e-05,0.015562460481819411,0.267135642003268,0.01822916400851682,0.24890647799475119,1.7085437388741411,6.057307765993755,8.032987146871164,1000.0,0.01,0.5,2.6062971549130902e-05,Crank-Nicolson,1.9999301871492288,1.0000421254187828
DG-FOM,-,4,2,0.25,20000,0.0005,0.5,,,384,0.00021338426837574104,0.006895239208298668,0.00015428949395767232,0.004985673909167046,0.008246162033174187,0.008246162033174187,,0.7055678058532067,0.0,0.7138139678863809,,,,,Crank-Nicolson,,
DG-POD,I,4,2,0.25,20000,0.0005,0.5,1000.0,5.0,384,0.00021339770017490361,0.006895243499073889,0.0001542986115755679,0.004985676659866427,0.068010104005225,0.005278430006001145,0.06273167399922386,0.15731671621324494,0.5914657359826379,0.8167925562011078,1000.0,0.01,0.5,6.792388257267765e-05,Crank-Nicolson,,
