method,W,Nxy,k,h,Nt,dt,omega,Ns,ell,ndofs,max_L2_error,max_H1_error,rms_L2_error,rms_H1_error,setup_time_sec,spatial_setup_time_sec,rom_specific_setup_time_sec,solve_time_sec,snapshot_time_sec,total_time_sec,snapshot_Nt,snapshot_dt,snapshot_omega,pod_tail,scheme,order_L2,order_H1
DG-FOM,-,128,2,0.0078125,200,0.05,1.0,,,393216,0.01887668785369253,0.05634728637277385,0.009388296388728097,0.027326605956347394,26.900987727975007,26.900987727975007,,62.474681060237344,0.0,89.37566878821235,,,,,Euler,,
DG-POD,I,128,2,0.0078125,200,0.05,1.0,100.0,20.0,393216,0.018876686458762736,0.0563473012676568,0.009388296008203578,0.027326606729169745,2.188113165961113,1.0446373560116626,1.1434758099494502,0.4542309786193073,80.8035031069885,83.44584725156892,100.0,0.1,1.0,5.538639011081735e-05,Euler,,
DG-POD,M,128,2,0.0078125,200,0.05,1.0,100.0,20.0,393216,0.018876686467844354,0.0563473058556102,0.009388296008616369,0.027326606719544136,2.406824796984438,1.0446373560116626,1.3621874409727752,0.4184842540998943,80.8035031069885,83.62881215807283,100.0,0.1,1.0,1.3497420474570414e-07,Euler,,
DG-POD,A,128,2,0.0078125,200,0.05,1.0,100.0,20.0,393216,0.01887668655420113,0.056347824113039756,0.009388295981422027,0.02732660651992949,2.593047634989489,1.0446373560116626,1.5484102789778262,0.4046329546254128,80.8035031069885,83.8011836966034,100.0,0.1,1.0,4.059542916301061e-06,Euler,,
DG-FOM,-,128,2,0.0078125,400,0.025,1.0,,,393216,0.00984184736626321,0.029630122175631348,0.004924599973263506,0.014376318761699359,27.3390348390094,27.3390348390094,,125.77882830589078,0.0,153.11786314490018,,,,,Euler,0.9396046008672324,0.9272815583034257
DG-POD,I,128,2,0.0078125,400,0.025,1.0,100.0,20.0,393216,0.009841844871719642,0.029630152008874616,0.004924599307983597,0.01437631862526944,2.088087404030375,1.0446373560116626,1.0434500480187126,0.8812993094907142,80.8035031069885,83.77288982050959,100.0,0.1,1.0,5.538639011081735e-05,Euler,0.9396048599262277,0.9272804870821333
DG-POD,M,128,2,0.0078125,400,0.025,1.0,100.0,20.0,393216,0.009841844925516745,0.029630179226576705,0.004924599309522638,0.014376318682189216,2.3090932340128347,1.0446373560116626,1.264455878001172,0.8624093310208991,80.8035031069885,83.97500567202223,100.0,0.1,1.0,1.3497420474570414e-07,Euler,0.939604852734309,0.92727927931835
DG-POD,A,128,2,0.0078125,400,0.025,1.0,100.0,20.0,393216,0.00984184457823564,0.029632213791368055,0.004924599321138434,0.014376318513336678,2.5615440540132113,1.0446373560116626,1.5169066980015486,0.7707908424781635,80.8035031069885,84.13583800347988,100.0,0.1,1.0,4.059542916301061e-06,Euler,0.939604910241525,0.9271934888543278
DG-FOM,-,128,2,0.0078125,800,0.0125,1.0,,,393216,0.005028249408616224,0.015214907216172488,0.002527991929264054,0.007394462673080634,27.36653349205153,27.36653349205153,,245.78617364127422,0.0,273.15270713332575,,,,,Euler,0.9688729310498991,0.9615790390512053
DG-POD,I,128,2,0.0078125,800,0.0125,1.0,100.0,20.0,393216,0.005028240920643972,0.01521464570599691,0.002527989266332048,0.007394451728511347,2.0748712409986183,1.0446373560116626,1.0302338849869557,1.7210943657555617,80.8035031069885,84.59946871374268,100.0,0.1,1.0,5.538639011081735e-05,Euler,0.9688750007338276,0.9616052885449118
DG-POD,M,128,2,0.0078125,800,0.0125,1.0,100.0,20.0,393216,0.0050282410414021405,0.015214700834949439,0.0025279892751044505,0.007394452164041674,2.3268421009997837,1.0446373560116626,1.282204744988121,1.7381592951714993,80.8035031069885,84.86850450315978,100.0,0.1,1.0,1.3497420474570414e-07,Euler,0.9688749739720857,0.9616013863057126
DG-POD,A,128,2,0.0078125,800,0.0125,1.0,100.0,20.0,393216,0.005028237042064487,0.015217455387384594,0.002527989499229325,0.00739445431123609,2.547776816994883,1.0446373560116626,1.5031394609832205,1.543095549568534,80.8035031069885,84.89437547355192,100.0,0.1,1.0,4.059542916301061e-06,Euler,0.9688760705490381,0.9614392762363101
DG-FOM,-,128,2,0.0078125,1600,0.00625,1.0,,,393216,0.00254168156590041,0.007712488366160104,0.001281654516289018,0.0037536098662556616,27.318207466974854,27.318207466974854,,531.3119415052352,0.0,558.63014897221,,,,,Euler,0.9842729174574629,0.9802172228550367
DG-POD,I,128,2,0.0078125,1600,0.00625,1.0,100.0,20.0,393216,0.002541675360353679,0.007711803195008354,0.0012816519215504217,0.003753585827023197,2.1285668580094352,1.0446373560116626,1.0839295019977726,3.5171347843133844,80.8035031069885,86.44920474931132,100.0,0.1,1.0,5.538639011081735e-05,Euler,0.9842740044657063,0.9803205994853438
DG-POD,M,128,2,0.0078125,1600,0.00625,1.0,100.0,20.0,393216,0.0025416755094488292,0.007711861518970963,0.001281651941573327,0.0037535868051658734,2.4266560599789955,1.0446373560116626,1.3820187039673328,3.49937516922364,80.8035031069885,86.72953433619114,100.0,0.1,1.0,1.3497420474570414e-07,Euler,0.9842739544846938,0.980314915970972
DG-POD,A,128,2,0.0078125,1600,0.00625,1.0,100.0,20.0,393216,0.002541668952943158,0.007714353425593065,0.0012816524076906598,0.0037535970334394084,2.5090706589980982,1.0446373560116626,1.4644333029864356,3.300759644364007,80.8035031069885,86.6133334103506,100.0,0.1,1.0,4.059542916301061e-06,Euler,0.9842765285812035,0.9801099880482652
DG-FOM,-,128,2,0.0078125,200,0.05,0.5,,,393216,0.000180479851233572,0.0004700832291487532,8.549400747267826e-05,0.00023821669150916105,26.9438668829971,26.9438668829971,,60.62751589581603,0.0,87.57138277881313,,,,,Crank-Nicolson,,
