time,DG-FOM,DG-POD ell=10,DG-POD ell=20,DG-POD ell=50,DG-POD ell=100,DG-POD ell=200
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
6.250000000000e-04,1.706413830908e-06,8.344663336287e-04,-4.384984691727e-04,7.059592657262e-04,-3.036844786940e-04,8.638350902440e-05
1.250000000000e-03,3.240500604165e-05,2.499809436362e-03,-8.292791878874e-04,1.195175047605e-03,-2.295889711217e-04,5.761576821634e-05
1.875000000000e-03,2.778363382154e-04,4.151631407496e-03,2.408945932201e-05,6.286360737219e-04,5.460094369966e-04,3.910987026474e-04
2.500000000000e-03,1.411656966463e-03,5.772615125265e-03,2.335005611534e-03,1.421760498553e-03,1.471820075361e-03,1.371495862762e-03
3.125000000000e-03,4.682182902649e-03,7.335812557969e-03,5.691375232134e-03,5.340404204997e-03,4.425510582202e-03,4.681410433090e-03
3.750000000000e-03,1.050630726201e-02,8.805677115143e-03,9.254457358984e-03,1.068948723132e-02,1.078154329723e-02,1.054590124129e-02
4.375000000000e-03,1.597892869594e-02,1.014239534016e-02,1.213654038174e-02,1.395027368395e-02,1.627646280843e-02,1.586085535371e-02
5.000000000000e-03,1.627166538134e-02,1.130864629416e-02,1.377668595816e-02,1.384771927779e-02,1.565608866871e-02,1.635430858369e-02
5.625000000000e-03,1.197366119264e-02,1.227722289993e-02,1.414327956532e-02,1.255194887861e-02,1.164958188504e-02,1.178909309262e-02
6.250000000000e-03,1.048818002945e-02,1.303763165237e-02,1.368328380811e-02,1.266671311823e-02,1.112020209937e-02,1.054551252305e-02
6.875000000000e-03,1.382111085149e-02,1.359993198401e-02,1.306302665747e-02,1.417022252204e-02,1.381602519862e-02,1.397649941134e-02
7.500000000000e-03,1.457868795697e-02,1.399465810715e-02,1.284118818029e-02,1.509311132495e-02,1.436518047568e-02,1.450832793819e-02
8.125000000000e-03,1.194506179402e-02,1.426855102045e-02,1.323563377914e-02,1.447501401729e-02,1.281305748163e-02,1.173457932625e-02
8.750000000000e-03,1.319322907250e-02,1.447680745683e-02,1.408575308266e-02,1.346280958560e-02,1.309798408905e-02,1.342003267506e-02
9.375000000000e-03,1.570401630925e-02,1.467339095650e-02,1.500600076076e-02,1.348945102753e-02,1.464435520727e-02,1.606501704074e-02
1.000000000000e-02,1.415233891635e-02,1.490144382118e-02,1.563088820561e-02,1.443829894648e-02,1.474089768424e-02,1.360450234106e-02
1.062500000000e-02,1.445998861124e-02,1.518586356200e-02,1.581474156258e-02,1.517963613161e-02,1.458635574834e-02,1.464050425929e-02
1.125000000000e-02,1.690627755374e-02,1.552965048788e-02,1.568620800371e-02,1.528494678001e-02,1.576783283605e-02,1.690229312359e-02
1.187500000000e-02,1.563569405511e-02,1.591479605166e-02,1.554363792747e-02,1.539202477670e-02,1.653392990109e-02,1.529419645151e-02
1.250000000000e-02,1.562411861031e-02,1.630745765904e-02,1.566430156167e-02,1.601372732778e-02,1.608346067744e-02,1.627299645143e-02
1.312500000000e-02,1.755407040911e-02,1.666619400409e-02,1.614144300657e-02,1.675548548282e-02,1.617686005350e-02,1.740363495283e-02
1.375000000000e-02,1.615624161197e-02,1.695134408326e-02,1.683900697379e-02,1.697933417819e-02,1.685071977963e-02,1.588348563993e-02
1.437500000000e-02,1.641584486084e-02,1.713338626120e-02,1.748142515026e-02,1.674673427275e-02,1.668169513669e-02,1.672328822080e-02
1.500000000000e-02,1.772722110657e-02,1.719837040521e-02,1.781776418385e-02,1.666722991288e-02,1.635978215716e-02,1.725991919937e-02
1.562500000000e-02,1.612704874240e-02,1.714921694840e-02,1.775986795829e-02,1.701676454711e-02,1.693690711729e-02,1.618836126614e-02
1.625000000000e-02,1.688847207872e-02,1.700265779755e-02,1.741392582829e-02,1.742824029931e-02,1.733745777626e-02,1.744187957488e-02
1.687500000000e-02,1.731677843398e-02,1.678262517146e-02,1.699106475366e-02,1.745165905605e-02,1.687946715310e-02,1.644533650623e-02
